type,question,name,role,industry,sphere,agent_source,content_preview,score
question,Has anyone here successfully applied for IBB Pro FIT or similar Investitionsbank Berlin grants? I am pre-seed in fintech and trying to understand whether it is worth the time versus just focusing on angel rounds.,Tim Leber,founder,FinTech,B2B SaaS,null,Has anyone here successfully applied for IBB Pro FIT or similar Investitionsbank,null
answer,We incorporated our GmbH three months ago but our Umsatzsteuer-ID from the Finanzamt is still pending. We are losing deals because we cannot issue proper invoices. Has anyone dealt with this in Berlin and found a way to speed it up?,Marek Sliwinski,champion,FinTech,B2B SaaS,champion_matcher,This is unfortunately very common with the Berlin Finanzämter — they are notorio,4.90
answer,We incorporated our GmbH three months ago but our Umsatzsteuer-ID from the Finanzamt is still pending. We are losing deals because we cannot issue proper invoices. Has anyone dealt with this in Berlin and found a way to speed it up?,Tobias Zimmermann,champion,FinTech,B2B SaaS,champion_matcher,"Marek is right about the ""beantragt"" workaround — use it immediately, do not wai",4.80
answer,We incorporated our GmbH three months ago but our Umsatzsteuer-ID from the Finanzamt is still pending. We are losing deals because we cannot issue proper invoices. Has anyone dealt with this in Berlin and found a way to speed it up?,Yuki Tanaka,mentor,FinTech,B2B SaaS,mentor_matcher,"From a legal standpoint, the ""USt-ID beantragt"" invoicing approach is solid and ",4.70
question,We incorporated our GmbH three months ago but our Umsatzsteuer-ID from the Finanzamt is still pending. We are losing deals because we cannot issue proper invoices. Has anyone dealt with this in Berlin and found a way to speed it up?,Kevin Baier,founder,FinTech,B2B SaaS,null,We incorporated our GmbH three months ago but our Umsatzsteuer-ID from the Finan,null
answer,We are a team of three and currently working from home. We want a co-working space in Berlin that has a proper startup community feel — not just a desk rental. Budget is tight. What do people actually recommend from experience?,Zara Okonkwo,champion,Future of Work,B2B SaaS,champion_matcher,Community feel is everything and most co-working spaces do not have it — they ar,4.90
answer,We are a team of three and currently working from home. We want a co-working space in Berlin that has a proper startup community feel — not just a desk rental. Budget is tight. What do people actually recommend from experience?,Erik Sandberg,mentor,Future of Work,B2B SaaS,mentor_matcher,"Having been in the Berlin ecosystem for 11 years, I have seen co-working spaces ",4.80
answer,We are a team of three and currently working from home. We want a co-working space in Berlin that has a proper startup community feel — not just a desk rental. Budget is tight. What do people actually recommend from experience?,Lukas Brandt,mentor,Future of Work,B2B SaaS,mentor_matcher,Practical take from someone who has built two companies in Berlin: do a two-week,4.60
question,We are a team of three and currently working from home. We want a co-working space in Berlin that has a proper startup community feel — not just a desk rental. Budget is tight. What do people actually recommend from experience?,Aïcha Coulibaly,founder,Future of Work,B2B SaaS,null,We are a team of three and currently working from home. We want a co-working spa,null
answer,We are applying to Startup Nation Central and need a Berlin-side reference. How do we find the right intro?,Priya Nandakumar,champion,future-of-work,B2B,champion_matcher,The Israeli-German startup corridor is active in Berlin — the Israeli Embassy ec,4.60
answer,We are applying to Startup Nation Central and need a Berlin-side reference. How do we find the right intro?,Erik Sandberg,mentor,future-of-work,B2B,mentor_matcher,LinkedIn is your best tool here. Search for Berlin-based founders or investors w,4.50
answer,We are applying to Startup Nation Central and need a Berlin-side reference. How do we find the right intro?,Erik Sandberg,mentor,future-of-work,B2B,mentor_matcher,"The German Accelerator has a Berlin office and strong Israeli connections. They ",4.40
question,We are applying to Startup Nation Central and need a Berlin-side reference. How do we find the right intro?,Miriam Goldberg,founder,future-of-work,B2B,null,"We are applying to Startup Nation Central and need a Berlin-side reference. How ",null
answer,We are hiring our first two employees and want to offer virtual shares (VSOPs). Which Berlin law firm handles this well?,Dr. Lena Vogt,champion,future-of-work,B2B,champion_matcher,"For VSOP documentation in Berlin: Orrick, Taylor Wessing, and SMP (Startup-Minde",4.90
answer,We are hiring our first two employees and want to offer virtual shares (VSOPs). Which Berlin law firm handles this well?,Lukas Brandt,mentor,future-of-work,B2B,mentor_matcher,"We used SMP for our VSOP setup. Straightforward process, clear documentation, an",4.80
answer,We are hiring our first two employees and want to offer virtual shares (VSOPs). Which Berlin law firm handles this well?,Dr. Lena Vogt,champion,future-of-work,B2B,champion_matcher,Make sure your VSOP plan includes a good leaver / bad leaver distinction and a c,4.60
question,We are hiring our first two employees and want to offer virtual shares (VSOPs). Which Berlin law firm handles this well?,Miriam Goldberg,founder,future-of-work,B2B,null,"We are hiring our first two employees and want to offer virtual shares (VSOPs). ",null
answer,What Berlin investor events are worth attending in the second half of the year for a future-of-work B2B startup?,Erik Sandberg,mentor,future-of-work,B2B,mentor_matcher,"The best investor conversations in Berlin happen at small dinners, not big confe",4.90
answer,What Berlin investor events are worth attending in the second half of the year for a future-of-work B2B startup?,Priya Nandakumar,champion,future-of-work,B2B,champion_matcher,"For H2 in Berlin: Bits & Pretzels (Munich but all Berlin VCs attend), Startup Ni",4.70
answer,What Berlin investor events are worth attending in the second half of the year for a future-of-work B2B startup?,Erik Sandberg,mentor,future-of-work,B2B,mentor_matcher,Tech Open Air (TOA) satellite events in the second half of the year are underrat,4.60
question,What Berlin investor events are worth attending in the second half of the year for a future-of-work B2B startup?,Miriam Goldberg,founder,future-of-work,B2B,null,What Berlin investor events are worth attending in the second half of the year f,null
answer,What does a typical ESOP pool look like for a Berlin GmbH at pre-seed and how is it structured legally?,Dr. Lena Vogt,champion,future-of-work,B2B,champion_matcher,Standard pre-seed ESOP pool for a Berlin GmbH: 10% of shares reserved as virtual,5.00
answer,What does a typical ESOP pool look like for a Berlin GmbH at pre-seed and how is it structured legally?,Dr. Lena Vogt,champion,future-of-work,B2B,champion_matcher,"From a tax perspective: VSOPs are taxed as income at exercise (not grant), which",4.90
answer,What does a typical ESOP pool look like for a Berlin GmbH at pre-seed and how is it structured legally?,Dr. Lena Vogt,champion,future-of-work,B2B,champion_matcher,"We used a 10% VSOP pool at pre-seed, expanded to 15% before Series A. Investors ",4.70
question,What does a typical ESOP pool look like for a Berlin GmbH at pre-seed and how is it structured legally?,Miriam Goldberg,founder,future-of-work,B2B,null,What does a typical ESOP pool look like for a Berlin GmbH at pre-seed and how is,null
answer,How do we find our first B2C customers in Berlin without a marketing budget?,Sofia Almeida,champion,healthtech,B2C,champion_matcher,"Berlin is a great test market. Start with your immediate network, then expand vi",4.70
answer,How do we find our first B2C customers in Berlin without a marketing budget?,Hana Okafor,mentor,healthtech,B2C,mentor_matcher,We posted in Berlin expat Facebook groups and got our first 50 users that way. A,4.60
answer,How do we find our first B2C customers in Berlin without a marketing budget?,Erik Sandberg,mentor,healthtech,B2C,mentor_matcher,Talk to 20 potential customers before building anything else. Berlin has a cultu,4.40
question,How do we find our first B2C customers in Berlin without a marketing budget?,Amara Diallo,founder,healthtech,B2C,null,How do we find our first B2C customers in Berlin without a marketing budget?,null
answer,I am on a non-EU visa. Can I be a GmbH co-founder and geschäftsführer at the same time?,Yara Demir,mentor,healthtech,B2C,mentor_matcher,"I went through this exact process. Key tip: have your business plan, proof of fu",5.00
answer,I am on a non-EU visa. Can I be a GmbH co-founder and geschäftsführer at the same time?,Dr. Lena Vogt,champion,healthtech,B2C,champion_matcher,"Yes, you can be both shareholder and Geschäftsführer of a GmbH on a non-EU visa,",4.90
answer,I am on a non-EU visa. Can I be a GmbH co-founder and geschäftsführer at the same time?,Dr. Lena Vogt,champion,healthtech,B2C,champion_matcher,"Also talk to a Rechtsanwalt specialising in immigration before your appointment ",4.60
question,I am on a non-EU visa. Can I be a GmbH co-founder and geschäftsführer at the same time?,Amara Diallo,founder,healthtech,B2C,null,I am on a non-EU visa. Can I be a GmbH co-founder and geschäftsführer at the sam,null
answer,What Berlin accelerators are worth applying to for a healthtech pre-seed startup?,Hana Okafor,mentor,healthtech,B2C,mentor_matcher,"We went through Flying Health. The clinical network access was the main value — ",4.90
answer,What Berlin accelerators are worth applying to for a healthtech pre-seed startup?,Priya Nandakumar,champion,healthtech,B2C,champion_matcher,"For healthtech pre-seed: Flying Health (Berlin-based, healthtech specialist), Ch",4.80
answer,What Berlin accelerators are worth applying to for a healthtech pre-seed startup?,Dr. Lena Vogt,champion,healthtech,B2C,champion_matcher,Also look at grants before accelerators — Exist Gründerstipendium and Invest (BA,4.50
question,What Berlin accelerators are worth applying to for a healthtech pre-seed startup?,Amara Diallo,founder,healthtech,B2C,null,What Berlin accelerators are worth applying to for a healthtech pre-seed startup,null
answer,What grants are available for healthtech startups in Berlin?,Marek Sliwinski,champion,healthtech,B2C,champion_matcher,"Key ones: Exist Gründerstipendium (up to €150k, non-dilutive, needs university c",4.90
answer,What grants are available for healthtech startups in Berlin?,Hana Okafor,mentor,healthtech,B2C,mentor_matcher,We got Exist and it funded our first year. The application is time-consuming but,4.80
answer,What grants are available for healthtech startups in Berlin?,Marek Sliwinski,champion,healthtech,B2C,champion_matcher,"From a tax perspective: grants are taxable income in Germany but you can offset ",4.40
question,What grants are available for healthtech startups in Berlin?,Amara Diallo,founder,healthtech,B2C,null,What grants are available for healthtech startups in Berlin?,null
answer,How do I vet a technical co-founder before giving away equity?,Jonas Reuter,champion,marketplace,B2B,champion_matcher,Run a paid trial project together for 4–6 weeks before discussing equity. Evalua,4.90
answer,How do I vet a technical co-founder before giving away equity?,Erik Sandberg,mentor,marketplace,B2B,mentor_matcher,The trial project is the only real filter. Also assess culture fit — you will sp,4.70
answer,How do I vet a technical co-founder before giving away equity?,Erik Sandberg,mentor,marketplace,B2B,mentor_matcher,"Talk to people they have worked with before — not references they give you, but ",4.60
question,How do I vet a technical co-founder before giving away equity?,Jonas Fuchs,founder,marketplace,B2B,null,How do I vet a technical co-founder before giving away equity?,null
answer,We need to hire our first engineer. Should we hire a contractor or a full-time employee in Germany?,Marek Sliwinski,champion,marketplace,B2B,champion_matcher,"In Germany, the risk of Scheinselbständigkeit (false self-employment) is real — ",4.90
answer,We need to hire our first engineer. Should we hire a contractor or a full-time employee in Germany?,Lukas Brandt,mentor,marketplace,B2B,mentor_matcher,We hired contractors first and had to convert two of them later — painful and ex,4.80
answer,We need to hire our first engineer. Should we hire a contractor or a full-time employee in Germany?,Marek Sliwinski,champion,marketplace,B2B,champion_matcher,"If you do go the contractor route short-term, have your Steuerberater review the",4.50
question,We need to hire our first engineer. Should we hire a contractor or a full-time employee in Germany?,Jonas Fuchs,founder,marketplace,B2B,null,We need to hire our first engineer. Should we hire a contractor or a full-time e,null
answer,What is a fair equity split between two co-founders at pre-seed?,Lukas Brandt,mentor,marketplace,B2B,mentor_matcher,The split matters less than the vesting terms and the co-founder agreement. I ha,4.90
answer,What is a fair equity split between two co-founders at pre-seed?,Dr. Lena Vogt,champion,marketplace,B2B,champion_matcher,50/50 is the simplest and often the best for equal co-founders — it signals trus,4.80
answer,What is a fair equity split between two co-founders at pre-seed?,Dr. Lena Vogt,champion,marketplace,B2B,champion_matcher,Investors prefer equal or near-equal splits at pre-seed — big imbalances (e.g. 7,4.70
question,What is a fair equity split between two co-founders at pre-seed?,Jonas Fuchs,founder,marketplace,B2B,null,What is a fair equity split between two co-founders at pre-seed?,null
